biosample_name,assay_name,bios_accession,exp_accession,file_accession,assembly,read_length,run_type,sequencing_platform,lab,depth
T_CD4-positive_alpha-beta_memory_T_cell,H3K9me3,ENCBS800QLP,ENCSR333VFQ,ENCFF160ATE,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",20528921.0
T_CD4-positive_alpha-beta_memory_T_cell,H3K27ac,ENCBS800QLP,ENCSR724GUS,ENCFF184ULC,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",14482471.0
T_CD4-positive_alpha-beta_memory_T_cell,H3K4me3,ENCBS800QLP,ENCSR223APP,ENCFF537JAK,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",20365338.0
T_CD4-positive_alpha-beta_memory_T_cell,H3K27me3,ENCBS800QLP,ENCSR702RZM,ENCFF340DVV,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",17714397.0
T_uterus,H3K27ac,ENCBS469FLQ,ENCSR249INE,ENCFF142RDG,GRCh38,76,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",49199281.0
T_uterus,DNase-seq,ENCBS469EGD,ENCSR237WJY,ENCFF130PVC,GRCh38,76,paired-ended,Illumina HiSeq 4000,"John Stamatoyannopoulos, UW",186503192.0
T_NCI-H460,DNase-seq,ENCBS514AAA,ENCSR000FJH,ENCFF876IBR,GRCh38,36,single-ended,Illumina HiSeq 2000,"John Stamatoyannopoulos, UW",19020436.0
T_T47D,DNase-seq,ENCBS440ENC,ENCSR000EQB,ENCFF563OCJ,GRCh38,36,single-ended,Illumina HiSeq 2000,"John Stamatoyannopoulos, UW",35095792.0
T_heart_left_ventricle,H3K9me3,ENCBS861XCF,ENCSR000XAA,ENCFF177POB,GRCh38,76,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",45742193.0
T_heart_left_ventricle,H3K4me1,ENCBS861XCF,ENCSR438QZN,ENCFF660DDB,GRCh38,76,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",61612718.0
T_heart_left_ventricle,DNase-seq,ENCBS260UTX,ENCSR070CMW,ENCFF533LLW,GRCh38,36,paired-ended,Illumina HiSeq 4000,"John Stamatoyannopoulos, UW",293850584.0
T_heart_left_ventricle,H3K27ac,ENCBS861XCF,ENCSR854OXF,ENCFF284LSK,GRCh38,76,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",26717174.0
T_heart_left_ventricle,H3K27me3,ENCBS861XCF,ENCSR988JLN,ENCFF940JCQ,GRCh38,76,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",49505968.0
T_heart_left_ventricle,ATAC-seq,ENCBS106FXL,ENCSR851EBF,ENCFF097EXD,GRCh38,101,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",36897552.0
T_heart_left_ventricle,H3K36me3,ENCBS861XCF,ENCSR500ZGF,ENCFF180KPZ,GRCh38,76,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",32153944.0
T_SK-MEL-5,DNase-seq,ENCBS518AAA,ENCSR000FEK,ENCFF207FFJ,GRCh38,36,single-ended,Illumina HiSeq 2000,"John Stamatoyannopoulos, UW",37558549.0
T_KMS-11,H3K4me1,ENCBS987CHP,ENCSR976JHS,ENCFF351LDO,GRCh38,76,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",40373031.0
T_KMS-11,H2AFZ,ENCBS987CHP,ENCSR499RMZ,ENCFF680AEE,GRCh38,76,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",19107175.0
T_KMS-11,H4K20me1,ENCBS987CHP,ENCSR790QWJ,ENCFF901QZZ,GRCh38,76,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",14209316.0
T_KMS-11,H3K27ac,ENCBS987CHP,ENCSR955IXZ,ENCFF028BMC,GRCh38,76,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",51052264.0
T_KMS-11,H3K79me2,ENCBS682HMC,ENCSR847UJW,ENCFF558TKQ,GRCh38,76,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",35693811.0
T_KMS-11,H3K4me3,ENCBS987CHP,ENCSR539TKY,ENCFF790PIQ,GRCh38,36,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",18081989.0
T_KMS-11,H3K27me3,ENCBS682HMC,ENCSR474VGQ,ENCFF622TMV,GRCh38,76,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",40153954.0
T_KMS-11,H3K36me3,ENCBS987CHP,ENCSR835YBD,ENCFF125PEN,GRCh38,76,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",19062422.0
T_skin_fibroblast,DNase-seq,ENCBS336CDQ,ENCSR184LMY,ENCFF966XVI,GRCh38,36,paired-ended,Illumina HiSeq 2000,"John Stamatoyannopoulos, UW",267819070.0
T_adrenal_gland_embryonic,H3K9me3,ENCBS056PYD,ENCSR651IVN,ENCFF856DZW,GRCh38,36,single-ended,Illumina HiSeq 2000,"John Stamatoyannopoulos, UW",16105973.0
T_adrenal_gland_embryonic,H3K4me3,ENCBS056PYD,ENCSR715KGX,ENCFF937GOA,GRCh38,36,single-ended,Illumina HiSeq 2000,"John Stamatoyannopoulos, UW",41865741.0
T_adrenal_gland_embryonic,H3K27me3,ENCBS056PYD,ENCSR218BPG,ENCFF228HLZ,GRCh38,36,single-ended,Illumina HiSeq 2000,"John Stamatoyannopoulos, UW",32508066.0
T_adrenal_gland_embryonic,H3K27ac,ENCBS056PYD,ENCSR847AIA,ENCFF575IKT,GRCh38,36,single-ended,Illumina HiSeq 2000,"John Stamatoyannopoulos, UW",19135407.0
T_adrenal_gland_embryonic,H3K36me3,ENCBS056PYD,ENCSR760LFY,ENCFF687AFJ,GRCh38,36,single-ended,Illumina HiSeq 2000,"John Stamatoyannopoulos, UW",23859120.0
T_adrenal_gland_embryonic,H3K4me1,ENCBS056PYD,ENCSR207ZIA,ENCFF795QMF,GRCh38,36,single-ended,Illumina HiSeq 2000,"John Stamatoyannopoulos, UW",27049565.0
T_amnion,H3K27me3,ENCBS712BZZ,ENCSR144NDE,ENCFF096HIU,GRCh38,75,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",26262955.0
T_amnion,H3K4me3,ENCBS712BZZ,ENCSR420IOA,ENCFF399JDM,GRCh38,75,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",22122377.0
T_amnion,H3K9me3,ENCBS712BZZ,ENCSR495GRN,ENCFF333AZG,GRCh38,75,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",21205678.0
T_amnion,H3K4me1,ENCBS712BZZ,ENCSR249AWJ,ENCFF444XCI,GRCh38,75,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",22934981.0
T_amnion,H3K36me3,ENCBS712BZZ,ENCSR786DQB,ENCFF307YOL,GRCh38,75,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",21589505.0
B_RWPE2,ATAC-seq,ENCBS123OBK,ENCSR080SNF,ENCFF452BSA,GRCh38,101,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",42670202.0
B_RWPE2,H3K27me3,ENCBS314QIO,ENCSR784MON,ENCFF499LZJ,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",64059290.0
B_RWPE2,H3K4me3,ENCBS314QIO,ENCSR297ONS,ENCFF944YWP,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",61943754.0
B_RWPE2,H3K9me3,ENCBS314QIO,ENCSR785DEU,ENCFF403WJG,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",75695248.0
B_RWPE2,H3K4me1,ENCBS684UIM,ENCSR161GUA,ENCFF679GLB,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",50591914.0
B_RWPE2,H3K36me3,ENCBS684UIM,ENCSR115IRD,ENCFF172QTD,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",86933948.0
B_RWPE2,DNase-seq,ENCBS490DPO,ENCSR306BHE,ENCFF407ORW,GRCh38,76,paired-ended,Illumina HiSeq 4000,"John Stamatoyannopoulos, UW",191822722.0
T_neural_stem_progenitor_cell,H3K4me2,ENCBS776ACY,ENCSR486GWT,ENCFF575YMO,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",5569005.0
T_neural_stem_progenitor_cell,H3K27ac,ENCBS104PYO,ENCSR799SRL,ENCFF477FHN,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",36742071.0
T_neural_stem_progenitor_cell,H3K27me3,ENCBS104PYO,ENCSR694LBI,ENCFF391VPZ,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",16573828.0
T_neural_stem_progenitor_cell,H2BK12ac,ENCBS776ACY,ENCSR940RIU,ENCFF253TBD,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",33918699.0
T_neural_stem_progenitor_cell,H2AK5ac,ENCBS289YMC,ENCSR732NFR,ENCFF094UHO,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",18451558.0
T_neural_stem_progenitor_cell,H3K4me3,ENCBS104PYO,ENCSR956CTX,ENCFF212FUS,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",57487823.0
T_neural_stem_progenitor_cell,H4K8ac,ENCBS776ACY,ENCSR277JAU,ENCFF277NHI,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",15483393.0
T_neural_stem_progenitor_cell,H3K9me3,ENCBS104PYO,ENCSR391WDE,ENCFF906APX,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",24773527.0
T_neural_stem_progenitor_cell,H4K91ac,ENCBS776ACY,ENCSR260CXF,ENCFF453VBG,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",19591700.0
T_neural_stem_progenitor_cell,H3K79me1,ENCBS776ACY,ENCSR570POG,ENCFF067DUE,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",17457028.0
T_neural_stem_progenitor_cell,H3K4ac,ENCBS661CUF,ENCSR476FBL,ENCFF793FNE,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",25565332.0
T_neural_stem_progenitor_cell,H3K18ac,ENCBS289YMC,ENCSR182XTG,ENCFF285VWE,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",32539930.0
T_neural_stem_progenitor_cell,H2BK120ac,ENCBS289YMC,ENCSR811NNT,ENCFF504LNP,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",13530755.0
T_neural_stem_progenitor_cell,H3K36me3,ENCBS104PYO,ENCSR256ESY,ENCFF870AGH,GRCh38,36,single-ended,Illumina Genome Analyzer IIx,"Bing Ren, UCSD",31987147.0
T_neural_stem_progenitor_cell,H3K23ac,ENCBS776ACY,ENCSR361LIU,ENCFF199MMG,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",12614953.0
T_neural_stem_progenitor_cell,DNase-seq,ENCBS805ZNK,ENCSR278FVO,ENCFF224MAE,GRCh38,36,single-ended,Illumina HiSeq 2000,"John Stamatoyannopoulos, UW",72093044.0
T_neural_stem_progenitor_cell,H2BK5ac,ENCBS289YMC,ENCSR651SVZ,ENCFF418NKT,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",23538852.0
T_neural_stem_progenitor_cell,H3K9ac,ENCBS776ACY,ENCSR626UPW,ENCFF158DIT,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",11816117.0
T_urinary_bladder,DNase-seq,ENCBS241XYR,ENCSR813CKU,ENCFF351RLC,GRCh38,36,paired-ended,Illumina HiSeq 2000,"John Stamatoyannopoulos, UW",64436086.0
T_urinary_bladder,H3K4me3,ENCBS364KFR,ENCSR632OWD,ENCFF746QLY,GRCh38,36,single-ended,Illumina HiSeq 2500,"Bing Ren, UCSD",18923135.0
T_urinary_bladder,H3K36me3,ENCBS364KFR,ENCSR449TNC,ENCFF761XEA,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",15427925.0
B_HAP-1,H3K9me3,ENCBS872LRZ,ENCSR460TQV,ENCFF302ELQ,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",107625396.0
B_HAP-1,H3K4me3,ENCBS609AIH,ENCSR882CQE,ENCFF980BDP,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",114086334.0
B_HAP-1,H3K27me3,ENCBS609AIH,ENCSR891YFI,ENCFF465ZHL,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",82542540.0
B_HAP-1,H3K27ac,ENCBS872LRZ,ENCSR131DVD,ENCFF525ADD,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",83144706.0
B_HAP-1,H3K36me3,ENCBS609AIH,ENCSR121CWP,ENCFF146XNB,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",119152068.0
B_HAP-1,H3K4me1,ENCBS609AIH,ENCSR450JTP,ENCFF651JPK,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",119093772.0
B_BMEC,H3K27ac,ENCBS938JNW,ENCSR111QCU,ENCFF887PLJ,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",112889020.0
B_BMEC,H3K27me3,ENCBS938JNW,ENCSR032CAS,ENCFF220CLZ,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",130557074.0
B_BMEC,H3K36me3,ENCBS938JNW,ENCSR587VHH,ENCFF761ZYL,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",128378738.0
B_BE2C,H3K9me3,ENCBS161OUD,ENCSR444YIP,ENCFF808XLS,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",111973798.0
B_BE2C,H3K4me1,ENCBS161OUD,ENCSR874NDX,ENCFF757WMQ,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",125710846.0
B_BE2C,H3K27me3,ENCBS277GST,ENCSR780XZD,ENCFF520FHH,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",92848652.0
B_BE2C,H3K36me3,ENCBS277GST,ENCSR114YOX,ENCFF233OXP,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",109425786.0
T_hematopoietic_multipotent_progenitor_cell,DNase-seq,ENCBS374YBC,ENCSR328UMC,ENCFF292XIO,GRCh38,36,single-ended,Illumina Genome Analyzer IIx,"John Stamatoyannopoulos, UW",30268067.0
V_DND-41,H3K27ac,ENCBS282AAA,ENCSR000AQW,ENCFF901HOL,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",35296722.0
V_DND-41,H4K20me1,ENCBS282AAA,ENCSR000ARC,ENCFF554ZKZ,GRCh38,36,single-ended,Illumina Genome Analyzer,"Bradley Bernstein, Broad",15697325.0
B_WERI-Rb-1,H3K27ac,ENCBS176OOK,ENCSR764HZU,ENCFF574GEM,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",80485758.0
B_WERI-Rb-1,H3K27me3,ENCBS161OJA,ENCSR967DBV,ENCFF584XYI,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",81727270.0
B_WERI-Rb-1,H3K9me3,ENCBS176OOK,ENCSR371OZG,ENCFF789QVF,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",62440510.0
B_WERI-Rb-1,H3K4me1,ENCBS176OOK,ENCSR614NUF,ENCFF563HLT,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",72825008.0
B_WERI-Rb-1,H3K36me3,ENCBS161OJA,ENCSR354XIL,ENCFF462VDJ,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",103501034.0
B_SJCRH30,H3K9me3,ENCBS386GKH,ENCSR782BWI,ENCFF278GKD,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",139224808.0
B_SJCRH30,H3K4me3,ENCBS386GKH,ENCSR986FPJ,ENCFF984RGN,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",113789090.0
B_SJCRH30,H3K27me3,ENCBS386GKH,ENCSR022MBN,ENCFF003JSI,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",117618246.0
B_SJCRH30,H3K27ac,ENCBS696NDF,ENCSR769CSE,ENCFF721URQ,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",108392626.0
B_SJCRH30,H3K36me3,ENCBS386GKH,ENCSR753TAU,ENCFF514BRD,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",103893072.0
B_SJCRH30,H3K4me1,ENCBS386GKH,ENCSR414OEF,ENCFF657XIL,GRCh38,100,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",142191222.0
T_adipose_tissue,H3K27ac,ENCBS628VEX,ENCSR082SHT,ENCFF243URL,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",15878948.0
T_dermis_microvascular_lymphatic_vessel_endothelial_cell,DNase-seq,ENCBS315AAA,ENCSR000EOA,ENCFF750AZP,GRCh38,36,single-ended,Illumina Genome Analyzer IIx,"John Stamatoyannopoulos, UW",34301308.0
T_K562,H3K36me3,ENCBS349ULG,ENCSR000DWB,ENCFF035SOZ,GRCh38,36,single-ended,Illumina Genome Analyzer,"John Stamatoyannopoulos, UW",13733703.0
T_K562,H3K9me3,ENCBS674MPN,ENCSR000APE,ENCFF155UQU,GRCh38,36,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",30445387.0
T_K562,H3K4me1,ENCBS667AAA,ENCSR000EWC,ENCFF089KHK,GRCh38,28,single-ended,Illumina Genome Analyzer II,"Peggy Farnham, USC",17426851.0
T_K562,H3K9me1,ENCBS639AAA,ENCSR000AKW,ENCFF302OEO,GRCh38,36,single-ended,Illumina Genome Analyzer II,"Bradley Bernstein, Broad",21052280.0
T_K562,H3K27ac,ENCBS674MPN,ENCSR000AKP,ENCFF232RQF,GRCh38,36,single-ended,Illumina Genome Analyzer IIe,"Bradley Bernstein, Broad",70602788.0
T_K562,DNase-seq,ENCBS775AAA,ENCSR921NMD,ENCFF257HEE,GRCh38,20,single-ended,Illumina HiSeq 4000,"John Stamatoyannopoulos, UW",328139849.0
T_K562,H3K4me2,ENCBS674MPN,ENCSR000AKT,ENCFF583GSH,GRCh38,36,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",6873643.0
T_K562,H3K9ac,ENCBS667AAA,ENCSR000EVZ,ENCFF946AXU,GRCh38,28,single-ended,Illumina Genome Analyzer,"Peggy Farnham, USC",23541673.0
T_K562,H4K20me1,ENCBS639AAA,ENCSR000AKX,ENCFF923YUN,GRCh38,36,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",13448672.0
T_K562,H3K4me3,ENCBS980HYW,ENCSR668LDD,ENCFF752MYF,GRCh38,36,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",26665324.0
T_K562,H2AFZ,ENCBS639AAA,ENCSR000APC,ENCFF007YZT,GRCh38,36,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",15747286.0
V_urinary_bladder,H3K27ac,ENCBS364KFR,ENCSR054BKO,ENCFF287TAI,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",16583557.0
T_prostate,H3K27ac,ENCBS633UTQ,ENCSR763IDK,ENCFF416EQK,GRCh38,76,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",31354271.0
T_prostate,H3K4me3,ENCBS633UTQ,ENCSR748RBT,ENCFF505NKP,GRCh38,76,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",38654841.0
V_K562,H3K79me2,ENCBS674MPN,ENCSR000APD,ENCFF132YSI,GRCh38,36,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",19957988.0
