biosample_name,assay_name,bios_accession,exp_accession,file_accession,assembly,read_length,run_type,sequencing_platform,lab,depth
UCSF_4_grp1_rep1,H3K4me3,ENCBS488VWE,ENCSR595KPI,ENCFF828AGM,GRCh38,76.0,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",19620825.0
UCSF_4_grp1_rep1,H3K27me3,ENCBS488VWE,ENCSR485ZKB,ENCFF197HYD,GRCh38,76.0,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",15049001.0
UCSF_4_grp1_rep1,H3K36me3,ENCBS488VWE,ENCSR734QPK,ENCFF599DTZ,GRCh38,76.0,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",24130592.0
muscle_layer_of_colon_nonrep,H3K36me3,ENCBS131NKI,ENCSR048JDL,ENCFF873XCL,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",30250400.0
muscle_layer_of_colon_nonrep,H3K9me3,ENCBS131NKI,ENCSR328CWP,ENCFF646LLB,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",25474770.0
muscle_layer_of_colon_nonrep,H3K4me3,ENCBS131NKI,ENCSR943PIR,ENCFF342IUQ,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",28583271.0
muscle_layer_of_colon_nonrep,H3K27me3,ENCBS131NKI,ENCSR381EFC,ENCFF457WWM,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",30790744.0
BLaER1_grp8_rep1,H3K4me2,ENCBS017NGB,ENCSR693KAX,ENCFF267CAC,GRCh38,50.0,single-ended,Illumina HiSeq 2000,"Roderic Guigo, CRG",42488962.0
BLaER1_grp8_rep1,H3K9me3,ENCBS017NGB,ENCSR308PVP,ENCFF545EPA,GRCh38,50.0,single-ended,Illumina HiSeq 2000,"Roderic Guigo, CRG",27960042.0
BLaER1_grp8_rep1,H3K9ac,ENCBS017NGB,ENCSR872ROW,ENCFF754MRB,GRCh38,50.0,single-ended,Illumina HiSeq 2000,"Roderic Guigo, CRG",32245991.0
BLaER1_grp8_rep1,H3K4me3,ENCBS017NGB,ENCSR653NOJ,ENCFF766LJN,GRCh38,50.0,single-ended,Illumina HiSeq 2000,"Roderic Guigo, CRG",34799805.0
BLaER1_grp8_rep1,H3K27me3,ENCBS017NGB,ENCSR987EKG,ENCFF262UHX,GRCh38,50.0,single-ended,Illumina HiSeq 2000,"Roderic Guigo, CRG",38752852.0
BLaER1_grp8_rep1,H3K27ac,ENCBS017NGB,ENCSR413YCI,ENCFF256SLN,GRCh38,50.0,single-ended,Illumina HiSeq 2000,"Roderic Guigo, CRG",39649147.0
BLaER1_grp8_rep1,H3K36me3,ENCBS017NGB,ENCSR524VDR,ENCFF710DPM,GRCh38,50.0,single-ended,Illumina HiSeq 2000,"Roderic Guigo, CRG",52908703.0
BLaER1_grp8_rep1,H3K4me1,ENCBS017NGB,ENCSR863PSM,ENCFF686LMS,GRCh38,50.0,single-ended,Illumina HiSeq 2000,"Roderic Guigo, CRG",44376374.0
BLaER1_grp8_rep1,H4K20me1,ENCBS017NGB,ENCSR839YFS,ENCFF722TVU,GRCh38,50.0,single-ended,Illumina HiSeq 2000,"Roderic Guigo, CRG",59891163.0
prostate_gland_grp2_rep1,H3K9me3,ENCBS619YXY,ENCSR133QBG,ENCFF017YAL,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",47311094.0
prostate_gland_grp2_rep1,H3K4me1,ENCBS619YXY,ENCSR642CSX,ENCFF799MQS,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",42096249.0
prostate_gland_grp2_rep1,CTCF,ENCBS619YXY,ENCSR230ORT,ENCFF675YNM,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",27459838.0
prostate_gland_grp2_rep1,H3K27ac,ENCBS619YXY,ENCSR763IDK,ENCFF416EQK,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",31354271.0
prostate_gland_grp2_rep1,H3K4me3,ENCBS619YXY,ENCSR748RBT,ENCFF505NKP,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",38654841.0
prostate_gland_grp2_rep1,H3K36me3,ENCBS633UTQ,ENCSR499FXI,ENCFF033XQY,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",53780937.0
transverse_colon_grp2_rep1,H3K9me3,ENCBS121FBL,ENCSR413CHO,ENCFF622ISQ,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",70249196.0
transverse_colon_grp2_rep1,CTCF,ENCBS121FBL,ENCSR907BES,ENCFF257AET,GRCh38,76.0,single-ended,Illumina NextSeq 500,"Bradley Bernstein, Broad",24906121.0
transverse_colon_grp2_rep1,H3K27ac,ENCBS633KVX,ENCSR069EGE,ENCFF960JEY,GRCh38,76.0,single-ended,Illumina NextSeq 500,"Bradley Bernstein, Broad",27969652.0
transverse_colon_grp2_rep1,H3K36me3,ENCBS633KVX,ENCSR101EEJ,ENCFF571SXB,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",82909020.0
thymus_nonrep,H3K36me3,ENCBS972VPQ,ENCSR645QZT,ENCFF486RJC,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"John Stamatoyannopoulos, UW",26339213.0
thymus_nonrep,H3K9me3,ENCBS972VPQ,ENCSR406VUH,ENCFF733ZJN,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"John Stamatoyannopoulos, UW",17272684.0
thymus_nonrep,H3K4me1,ENCBS972VPQ,ENCSR479YCJ,ENCFF936KTB,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"John Stamatoyannopoulos, UW",20374330.0
thymus_nonrep,H3K27ac,ENCBS972VPQ,ENCSR776KLS,ENCFF089LWK,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"John Stamatoyannopoulos, UW",39998766.0
thymus_nonrep,DNase-seq,ENCBS054CPR,ENCSR164PQJ,ENCFF891OQU,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"John Stamatoyannopoulos, UW",82286491.0
thymus_nonrep,H3K4me3,ENCBS972VPQ,ENCSR308ZMD,ENCFF932LXE,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"John Stamatoyannopoulos, UW",25086411.0
thymus_nonrep,H3K27me3,ENCBS972VPQ,ENCSR381XDC,ENCFF615AGC,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"John Stamatoyannopoulos, UW",53027373.0
OCI_LY1_grp1_rep2,H3K9me2,ENCBS397COL,ENCSR768JED,ENCFF995HWM,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",81412333.0
OCI_LY1_grp1_rep2,H3K9me3,ENCBS899DSB,ENCSR189AGR,ENCFF510IPL,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",58971873.0
OCI_LY1_grp1_rep2,H3F3A,ENCBS899DSB,ENCSR678AFU,ENCFF499IEY,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",23605314.0
OCI_LY1_grp1_rep2,H4K20me1,ENCBS899DSB,ENCSR960ZMM,ENCFF164XOQ,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",73076420.0
OCI_LY1_grp1_rep2,H2AFZ,ENCBS899DSB,ENCSR874HSH,ENCFF483FWX,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",20674167.0
motor_neuron_grp3_rep2,H3K4me1,ENCBS830GXE,ENCSR698HPK,ENCFF707JEM,GRCh38,100.0,paired-ended,Illumina NovaSeq 6000,"Michael Snyder, Stanford",45749328.0
motor_neuron_grp3_rep2,H3K27ac,ENCBS830GXE,ENCSR680IWU,ENCFF186UZI,GRCh38,100.0,paired-ended,Illumina NovaSeq 6000,"Michael Snyder, Stanford",61234600.0
motor_neuron_grp3_rep2,H3K4me3,ENCBS830GXE,ENCSR745TRI,ENCFF756KPH,GRCh38,100.0,paired-ended,Illumina NovaSeq 6000,"Michael Snyder, Stanford",23683044.0
motor_neuron_grp3_rep2,ATAC-seq,ENCBS830GXE,ENCSR913OWV,ENCFF870LIP,GRCh38,101.0,paired-ended,Illumina NovaSeq 6000,"Michael Snyder, Stanford",165123690.0
WERI_Rb_1_grp1_rep2,H3K9me3,ENCBS176OOK,ENCSR371OZG,ENCFF062NJZ,GRCh38,100.0,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",89428440.0
WERI_Rb_1_grp1_rep2,H3K4me1,ENCBS176OOK,ENCSR614NUF,ENCFF113VUD,GRCh38,100.0,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",89894924.0
WERI_Rb_1_grp1_rep2,H3K27ac,ENCBS176OOK,ENCSR764HZU,ENCFF463ZHF,GRCh38,100.0,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",90118042.0
WERI_Rb_1_grp1_rep2,H3K27me3,ENCBS176OOK,ENCSR967DBV,ENCFF584GVO,GRCh38,100.0,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",67733322.0
WERI_Rb_1_grp1_rep2,H3K36me3,ENCBS176OOK,ENCSR354XIL,ENCFF990XJO,GRCh38,100.0,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",107133394.0
vagina_nonrep,H3K27ac,ENCBS468YOF,ENCSR346FVK,ENCFF662XKH,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",28814745.0
vagina_nonrep,H3K4me3,ENCBS468YOF,ENCSR647HAQ,ENCFF624VUM,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",30699637.0
vagina_nonrep,H3K36me3,ENCBS468YOF,ENCSR046OON,ENCFF186DVU,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",45900534.0
vagina_nonrep,DNase-seq,ENCBS163TED,ENCSR733YNW,ENCFF564NGR,GRCh38,36.0,paired-ended,Illumina HiSeq 4000,"John Stamatoyannopoulos, UW",196591588.0
iPS_DF_19.11_grp1_rep2,H3K9me3,ENCBS972ZOZ,ENCSR704BRU,ENCFF110OQE,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bing Ren, UCSD",17371684.0
iPS_DF_19.11_grp1_rep2,H3K4me3,ENCBS972ZOZ,ENCSR888WZL,ENCFF519EDU,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bing Ren, UCSD",17407528.0
iPS_DF_19.11_grp1_rep2,H3K27me3,ENCBS972ZOZ,ENCSR100PNV,ENCFF668AJV,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bing Ren, UCSD",54353956.0
iPS_DF_19.11_grp1_rep2,H3K27ac,ENCBS972ZOZ,ENCSR505OPZ,ENCFF903VBQ,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",71213145.0
iPS_DF_19.11_grp1_rep2,H3K36me3,ENCBS972ZOZ,ENCSR067BNI,ENCFF890GHA,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bing Ren, UCSD",19615605.0
iPS_DF_19.11_grp1_rep2,H3K4me1,ENCBS972ZOZ,ENCSR307OAJ,ENCFF922KAO,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bing Ren, UCSD",21472606.0
SK_N_MC_nonrep,H3K36me3,ENCBS203EZT,ENCSR526PZM,ENCFF828DDH,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",51626812.0
SK_N_MC_nonrep,H3K9me3,ENCBS203EZT,ENCSR679CHH,ENCFF167CGZ,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",26593789.0
SK_N_MC_nonrep,H3K4me1,ENCBS273LIC,ENCSR152QRE,ENCFF615QSY,GRCh38,36.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",48445903.0
SK_N_MC_nonrep,DNase-seq,ENCBS366AET,ENCSR000EPY,ENCFF306JAZ,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"John Stamatoyannopoulos, UW",26901127.0
SK_N_MC_nonrep,H3K4me3,ENCBS366AET,ENCSR000DXL,ENCFF126EFH,GRCh38,36.0,single-ended,Illumina Genome Analyzer,"John Stamatoyannopoulos, UW",11395446.0
K562_nonrep,H2AFZ,ENCBS639AAA,ENCSR000APC,ENCFF874SMO,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",18572763.0
K562_nonrep,EZH2,ENCBS639AAA,ENCSR000AQE,ENCFF178ARN,GRCh38,36.0,single-ended,Illumina Genome Analyzer,"Bradley Bernstein, Broad",35857754.0
K562_nonrep,H3K4me2,ENCBS639AAA,ENCSR000AKT,ENCFF446FUS,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",9285325.0
K562_nonrep,CEBPB,ENCBS039ENC,ENCSR000EHE,ENCFF665VJA,GRCh38,36.0,single-ended,Illumina Genome Analyzer,"Michael Snyder, Stanford",17401265.0
K562_nonrep,H3K27ac,ENCBS639AAA,ENCSR000AKP,ENCFF600THN,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIe,"Bradley Bernstein, Broad",10655503.0
K562_nonrep,ATAC-seq,ENCBS476EKR,ENCSR868FGK,ENCFF077FBI,GRCh38,99.0,paired-ended,Illumina NovaSeq 6000,"Michael Snyder, Stanford",164684730.0
K562_nonrep,H3K27me3,ENCBS639AAA,ENCSR000AKQ,ENCFF954SSM,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIe,"Bradley Bernstein, Broad",9268005.0
K562_nonrep,REST,ENCBS674MPN,ENCSR000ATM,ENCFF191OSK,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",7444957.0
K562_nonrep,H3K4me3,ENCBS639AAA,ENCSR000AKU,ENCFF564SVK,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIe,"Bradley Bernstein, Broad",6863240.0
K562_nonrep,H3K9me3,ENCBS639AAA,ENCSR000APE,ENCFF104THG,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",13899239.0
K562_nonrep,RAD21,ENCBS039ENC,ENCSR000FAD,ENCFF919OQH,GRCh38,27.0,single-ended,Illumina Genome Analyzer,"Sherman Weissman, Yale",5869627.0
K562_nonrep,H4K20me1,ENCBS639AAA,ENCSR000AKX,ENCFF255QRL,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",8876304.0
K562_nonrep,H3K79me2,ENCBS639AAA,ENCSR000APD,ENCFF711PLM,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",20306624.0
K562_nonrep,CTCF,ENCBS639AAA,ENCSR000AKO,ENCFF834MPG,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",7538035.0
K562_nonrep,MAX,ENCBS039ENC,ENCSR000EFV,ENCFF941VAW,GRCh38,36.0,single-ended,Illumina Genome Analyzer,"Michael Snyder, Stanford",7885814.0
K562_nonrep,H3K4me1,ENCBS639AAA,ENCSR000AKS,ENCFF839DZV,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Bradley Bernstein, Broad",9388658.0
K562_nonrep,MYC,ENCBS039ENC,ENCSR000EGJ,ENCFF672LVL,GRCh38,36.0,single-ended,Illumina Genome Analyzer,"Michael Snyder, Stanford",20458864.0
K562_nonrep,H3K36me3,ENCBS639AAA,ENCSR000AKR,ENCFF594GRL,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIe,"Bradley Bernstein, Broad",9235696.0
K562_nonrep,DNase-seq,ENCBS775AAA,ENCSR000EKS,ENCFF257HEE,GRCh38,20.0,single-ended,Illumina Genome Analyzer,"Gregory Crawford, Duke",328139849.0
K562_nonrep,YY1,ENCBS109ENC,ENCSR000BKU,ENCFF749HDO,GRCh38,36.0,single-ended,Illumina Genome Analyzer IIx,"Richard Myers, HAIB",4784512.0
K562_nonrep,H3K9ac,ENCBS639AAA,ENCSR000AKV,ENCFF149MXA,GRCh38,36.0,single-ended,Illumina Genome Analyzer II,"Bradley Bernstein, Broad",13344302.0
K562_nonrep,POLR2A,ENCBS039ENC,ENCSR000FAJ,ENCFF717URX,GRCh38,27.0,single-ended,Illumina Genome Analyzer,"Sherman Weissman, Yale",5840570.0
left_lung_nonrep,H3K27ac,ENCBS628ZUJ,ENCSR494WCX,ENCFF827RIY,GRCh38,76.0,single-ended,Illumina NextSeq 500,"Bradley Bernstein, Broad",49300791.0
left_lung_nonrep,H3K27me3,ENCBS628ZUJ,ENCSR975GDL,ENCFF806PIC,GRCh38,76.0,single-ended,Illumina NextSeq 500,"Bradley Bernstein, Broad",54638773.0
left_lung_nonrep,H3K4me3,ENCBS628ZUJ,ENCSR864ECD,ENCFF368MEO,GRCh38,76.0,single-ended,Illumina NextSeq 500,"Bradley Bernstein, Broad",37962898.0
left_lung_nonrep,H3K9me3,ENCBS628ZUJ,ENCSR157JGF,ENCFF669YAP,GRCh38,76.0,single-ended,Illumina NextSeq 500,"Bradley Bernstein, Broad",46117738.0
left_lung_nonrep,CTCF,ENCBS628ZUJ,ENCSR255SQR,ENCFF312URP,GRCh38,76.0,single-ended,Illumina NextSeq 500,"Bradley Bernstein, Broad",45424794.0
left_lung_nonrep,H3K4me1,ENCBS628ZUJ,ENCSR155YWB,ENCFF731PYO,GRCh38,76.0,single-ended,Illumina NextSeq 500,"Bradley Bernstein, Broad",55851340.0
left_lung_nonrep,H3K36me3,ENCBS628ZUJ,ENCSR906YQO,ENCFF502FYZ,GRCh38,76.0,single-ended,Illumina NextSeq 500,"Bradley Bernstein, Broad",59188465.0
left_lung_nonrep,DNase-seq,ENCBS790DUM,ENCSR658UBE,ENCFF050APU,GRCh38,76.0,paired-ended,Illumina HiSeq 4000,"John Stamatoyannopoulos, UW",169129626.0
SK_N_SH_grp1_rep1,H2AFZ,ENCBS324TZB,ENCSR366QMB,ENCFF228HFE,GRCh38,76.0,paired-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",52541144.0
SK_N_SH_grp1_rep1,H3K27ac,ENCBS324TZB,ENCSR564IGJ,ENCFF098JJI,GRCh38,76.0,paired-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",30591798.0
SK_N_SH_grp1_rep1,H3K9me3,ENCBS324TZB,ENCSR657OGA,ENCFF845ESW,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",55174334.0
SK_N_SH_grp1_rep1,H4K20me1,ENCBS324TZB,ENCSR878HPJ,ENCFF428NUV,GRCh38,76.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",53634220.0
SK_N_SH_grp1_rep1,H3K79me2,ENCBS324TZB,ENCSR074TRC,ENCFF733IJP,GRCh38,76.0,paired-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",59672600.0
SK_N_SH_grp1_rep1,CTCF,ENCBS324TZB,ENCSR541AMF,ENCFF573XDI,GRCh38,76.0,paired-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",51125472.0
SK_N_SH_grp1_rep1,H3F3A,ENCBS324TZB,ENCSR125IJY,ENCFF388BGC,GRCh38,76.0,paired-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",45689630.0
SK_N_SH_grp1_rep1,H3K36me3,ENCBS324TZB,ENCSR978CNH,ENCFF665FGA,GRCh38,76.0,paired-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",54892414.0
SK_N_SH_grp1_rep1,H3K9me2,ENCBS324TZB,ENCSR423UOT,ENCFF680TUN,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",71009444.0
spleen_grp4_rep2,H3K9me3,ENCBS363GBQ,ENCSR272CIV,ENCFF351XNE,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",82122286.0
spleen_grp4_rep2,H3K4me1,ENCBS363GBQ,ENCSR831EDZ,ENCFF238JZV,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",43580615.0
spleen_grp4_rep2,CTCF,ENCBS363GBQ,ENCSR595BPR,ENCFF362NAY,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",42322453.0
spleen_grp4_rep2,H3K27ac,ENCBS363GBQ,ENCSR668GBL,ENCFF232VBK,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",44050652.0
spleen_grp4_rep2,H3K4me3,ENCBS363GBQ,ENCSR589DBF,ENCFF292SNQ,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",30350724.0
spleen_grp4_rep2,H3K27me3,ENCBS363GBQ,ENCSR826MTK,ENCFF471IND,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",56287487.0
