,Accession,Age,Age units,Biosample age,Biosample classification,Biosample term name,Biosample treatment,Biosample treatment purpose,Biosample treatment type details,Child biosamples,Culture harvest date,Date obtained,Description,ID,Lab,Life stage,Modification category,Modification method,Modification purpose,Modification site,Modification site introduced gene organism,Modification site target organism,Organism,Post-synchronization time,Post-synchronization time units,Source,Status,Summary,Synchronization,isogenic_replicates
22,ENCBS007TSX,43,year,43 years,primary cell,"activated CD4-positive, alpha-beta memory T cell",anti-CD3 and anti-CD28 coated beads,activation,,,,,,/biosamples/ENCBS007TSX/,"Yijun Ruan, JAX",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (43 years) activated CD4-positive, alpha-beta memory T primary cell treated with anti-CD3 and anti-CD28 coated beads for 36 hours",,
23,ENCBS007TVF,16,week,16 weeks,cell line,IMR-90,,,,,,,"IMR-90 cell line provided by ATCC. Cells are of fetal lung fibroblast lineage and grown on Eagle's Minimum Essential Medium, Eagle with Earle's Balanced Salt Solution supplemented with 10% Fetal Bovine Serum (FBS), 1% Pen/Strep (penicillin, streptomycin), 1% GlutaMax (stable form of glutamine)",/biosamples/ENCBS007TVF/,"Bing Ren, UCSD",embryonic,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens IMR-90 cell line,,ENCBS981IKS
24,ENCBS008AOU,5,day,5 days,in vitro differentiated cells,radial glial cell,,,,,2011-03-15,,Early Radial Glia were collected at day 14 of differentiation (see protocol),/biosamples/ENCBS008AOU/,"Bradley Bernstein, Broad",embryonic,insertion,,tagging,HES5-human,,/organisms/human/,Homo sapiens,,,Alex Meissner,released,Homo sapiens female embryo (5 days) radial glial in vitro differentiated cells stably expressing C-terminal eGFP-tagged HES5 originated from H9,,ENCBS772AEX
25,ENCBS008FJR,15,year,15 years,cell line,A673,,,,,,,,/biosamples/ENCBS008FJR/,"Mats Ljungman, UMichigan",child,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens A673 cell line,,
26,ENCBS008HYR,81,year,81 years,tissue,cingulate gyrus,,,,,,,Cingulate gyrus of brain obtained post-mortem in a longitudinal study. Sample was taken from a healthy 81 year old male donor from Rush University Medical Center.,/biosamples/ENCBS008HYR/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens male adult (81 years) cingulate gyrus tissue,,
27,ENCBS008QPC,3,year,3 years,tissue,psoas muscle,,,,,,,Psoas muscle tissue from a healthy 3 year old male human from the Lin laboratory.,/biosamples/ENCBS008QPC/,"Bing Ren, UCSD",child,,,,,,,Homo sapiens,,,Shin Lin,released,Homo sapiens male child (3 years) psoas muscle tissue,,
28,ENCBS009ENC,unknown,,,cell line,HS-27A,,,,,,,"HS27a Human Marrow Stromal Cells are fibroblastoid cells immortalized with HPV16 E6/E7 genes as described in Roecklein and Torok-Storb, 1995 Blood 85:997-1005, insert DNA is LXSN-16 E6E7 packaged in PA31.",/biosamples/ENCBS009ENC/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Beverly Torok-Storb,released,Homo sapiens HS-27A cell line,,
29,ENCBS009WOO,53,year,53 years,tissue,spleen,,,,,,,,/biosamples/ENCBS009WOO/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens female adult (53 years) spleen tissue,,
30,ENCBS009YPS,40,year,40 years,tissue,right lobe of liver,,,,/biosamples/ENCBS183CVV/,,2018-03-09,,/biosamples/ENCBS009YPS/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,Homo sapiens male adult (40 years) right lobe of liver tissue,,
31,ENCBS010BKY,40,year,40 years,primary cell,memory B cell,,,,,,,,/biosamples/ENCBS010BKY/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,StemExpress,released,Homo sapiens male adult (40 years) memory B primary cell,,ENCBS053JES
32,ENCBS010ENC,unknown,,,cell line,HS-5,,,,,,,"HS5 Human Marrow Stromal Cells are fibroblastoid cells immortalized with HPV16 E6/E7 genes as described in Roecklein and Torok-Storb, 1995 Blood 85:997-1005, insert DNA is LXSN-16 E6E7 packaged in PA31.",/biosamples/ENCBS010ENC/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Beverly Torok-Storb,released,Homo sapiens HS-5 cell line,,
33,ENCBS010LQV,37,year,37 years,primary cell,B cell,,,,,,,Flow sorted CD19+ B cells from a 37 year old healthy Hispanic male. Cells provided by the Shelly Heimfeld lab at FHCRC.,/biosamples/ENCBS010LQV/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Shelly Heimfeld,released,Homo sapiens male adult (37 years) B primary cell,,
34,ENCBS011ENC,unknown,,,primary cell,stromal cell of bone marrow,,,,,,,"These cells are primary fibroblastoid cells obtained from human bone marrow of normal donors as described in Roecklein and Torok-Storb, 1995 Blood 85:997-1005.",/biosamples/ENCBS011ENC/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,Beverly Torok-Storb,released,Homo sapiens male stromal of bone marrow primary cell,,ENCBS790XUP
35,ENCBS011NFB,unknown,,,cell line,H1,,,,,,,,/biosamples/ENCBS011NFB/,"Bradley Bernstein, Broad",embryonic,,,,,,,Homo sapiens,,,CDI,released,Homo sapiens H1 cell line,,"ENCBS253TYD,ENCBS364BFI,ENCBS952IPA"
36,ENCBS012DXH,unknown,,,in vitro differentiated cells,mesenchymal stem cell,,,,,,,Human embryonic stem cells received from the James Thomson laboratory. Cells are from the H1 line and are differentiated into mesenchymal stem cells. The differentitaion method is described in a publication currently in progress.,/biosamples/ENCBS012DXH/,"Bing Ren, UCSD",embryonic,,,,,,,Homo sapiens,,,James Thomson,released,Homo sapiens male embryo mesenchymal stem in vitro differentiated cells originated from H1,,ENCBS725VAK
37,ENCBS012ENC,35,year,35 years,tissue,cerebellum,,,,,,,Primary frozen cerebellum Tissue from NICHD donor IDs 1104 (Rep B1),/biosamples/ENCBS012ENC/,"Gregory Crawford, Duke",adult,,,,,,,Homo sapiens,,,NICHD,released,Homo sapiens male adult (35 years) cerebellum tissue,,ENCBS013ENC
38,ENCBS012FWY,40,year,40 years,primary cell,stimulated activated naive B cell,"anti-CD40,anti-IgM,Interleukin-4","activation,stimulation",,,,,,/biosamples/ENCBS012FWY/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,StemExpress,released,"Homo sapiens male adult (40 years) stimulated activated naive B primary cell treated with 1 μg/mL anti-CD40 for 72 hours, 10 μg/mL anti-IgM for 72 hours, 100 ng/mL Interleukin-4 for 72 hours",,ENCBS737YXU
39,ENCBS012PFZ,21,year,21 years,primary cell,suppressor macrophage,,,,,,,control_4h,/biosamples/ENCBS012PFZ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Shelly Heimfeld,released,Homo sapiens male adult (21 years) suppressor macrophage primary cell,,
40,ENCBS012ZSH,37,year,37 years,primary cell,"CD4-positive, alpha-beta T cell",,,,,,,untreated_4h,/biosamples/ENCBS012ZSH/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Shelly Heimfeld,released,"Homo sapiens female adult (37 years) CD4-positive, alpha-beta T primary cell",,
41,ENCBS013CSB,25,year,25 years,in vitro differentiated cells,hematopoietic multipotent progenitor cell,"interleukin-3,kit ligand,hydrocortisone succinate,erythropoietin",stimulation,,,,,Day 11 (T11),/biosamples/ENCBS013CSB/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Shelly Heimfeld,released,"Homo sapiens male adult (25 years) hematopoietic multipotent progenitor in vitro differentiated cells treated with interleukin-3 for 11 days, kit ligand for 11 days, hydrocortisone succinate for 11 days, erythropoietin for 11 days",,"ENCBS378UXT,ENCBS095TOF"
42,ENCBS013ENC,27,year,27 years,tissue,cerebellum,,,,,,,Primary frozen cerebellum Tissue from NICHD donor IDs 602 (Rep B2),/biosamples/ENCBS013ENC/,"Gregory Crawford, Duke",adult,,,,,,,Homo sapiens,,,NICHD,released,Homo sapiens male adult (27 years) cerebellum tissue,,ENCBS012ENC
43,ENCBS013RPN,13,year,13 years,cell line,DND-41,,,,,,,,/biosamples/ENCBS013RPN/,"John Stamatoyannopoulos, UW",child,,,,,,,Homo sapiens,,,DSMZ,released,Homo sapiens DND-41 cell line,,"ENCBS308ABW,ENCBS167JGE"
44,ENCBS013VNY,26,year,26 years,tissue,mucosa of descending colon,,,,/biosamples/ENCBS480WQR/,,2017-06-28,,/biosamples/ENCBS013VNY/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens male adult (26 years) mucosa of descending colon tissue, preserved by cryopreservation",,
45,ENCBS014DSD,5,day,5 days,in vitro differentiated cells,neuronal stem cell,,,,,,,"Neuronal progenitors derived from H9 (WA09) human stem cells provided by ArunA Biomedical, Athens, GA. Cells express >90% nestin(+) and <5% Oct-4(+) markers. Cells were cultured in defined proliferation medium containing AB2+ANS plus FGF2 and LIF on Matrigel-coated surfaces.",/biosamples/ENCBS014DSD/,"Bradley Bernstein, Broad",embryonic,,,,,,,Homo sapiens,,,ArunA Biomedical,released,Homo sapiens female embryo (5 days) neuronal stem in vitro differentiated cells originated from H9,,ENCBS454LPJ
46,ENCBS014NFD,17,week,17 weeks,primary cell,neurosphere,,,,,,,"Neurosphere Cultured Cells, derived from the cortex from a disease free week 17 gestation female. Sample was provided by Keith Ligon at Harvard University. Fetus is named HuFNSC02 Batch 1, twin of HuFNSC01.",/biosamples/ENCBS014NFD/,"Joseph Costello, UCSF",embryonic,,,,,,,Homo sapiens,,,Keith Ligon,released,Homo sapiens female embryo (17 weeks) neurosphere primary cell originated from cortex,,
47,ENCBS014VBU,16,year,16 years,tissue,mucosa of gallbladder,,,,/biosamples/ENCBS030TPH/,,2017-06-09,,/biosamples/ENCBS014VBU/,"Michael Snyder, Stanford",child,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens female child (16 years) mucosa of gallbladder tissue, preserved by flash-freezing",,
48,ENCBS015CUU,unknown,,,primary cell,"CD4-positive, alpha-beta memory T cell",,,,,,,CD4+ memory CD3+ CD4+ CD8- CD45RA- CD45RO+ nonTreg,/biosamples/ENCBS015CUU/,"Bradley Bernstein, Broad",unknown,,,,,,,Homo sapiens,,,David Hafler,released,"Homo sapiens with multiple sclerosis; CD4-positive, alpha-beta memory T primary cell, preserved by cryopreservation",,
49,ENCBS015ENC,31,year,31 years,cell line,GM04503,,,,,,,"adult twin pair fibroblasts, monozygotic twin of GM04504",/biosamples/ENCBS015ENC/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens GM04503 cell line,,ENCBS339GFS
50,ENCBS015NSJ,59,year,59 years,tissue,ovary,,,,/biosamples/ENCBS924VHJ/,,2018-02-16,,/biosamples/ENCBS015NSJ/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens female adult (59 years) ovary tissue, preserved by cryopreservation",,
51,ENCBS015UPH,unknown,,,cell line,HUES64,,,,,,,"Human embryonic stem cell line with a normal 46XY karyotype. The stem cells were derived from human blastocysts and are strongly positive for a number of molecular markers of undifferentiated pluripotent human stem cells, including OCT4, and NANOG. [PMCID:PMC3335201]. Cells were provided by Harvard University and maintained on KSR medium.",/biosamples/ENCBS015UPH/,"Bradley Bernstein, Broad",embryonic,,,,,,,Homo sapiens,,,Alex Meissner,released,Homo sapiens HUES64 cell line,,ENCBS389KQW
52,ENCBS015WFT,80,year,80 years,tissue,head of caudate nucleus,,,,,,,,/biosamples/ENCBS015WFT/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,"Homo sapiens male adult (80 years) with Cognitive impairment, Alzheimer's disease; head of caudate nucleus tissue",,
53,ENCBS015WUS,108,day,108 days,tissue,lung,,,,,,,"Lung tissue from a healthy 108 day old male human fetus. Tissue provided by Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS015WUS/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens male embryo (108 days) lung tissue,,
54,ENCBS016ENC,31,year,31 years,cell line,GM04504,,,,,,,"adult twin pair fibroblasts, monozygotic twin of GM04503, 13% of the cells examined show random chromosome loss",/biosamples/ENCBS016ENC/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens GM04504 cell line,,ENCBS388KHM
55,ENCBS016JJR,39,year,39 years,primary cell,"CD4-positive, alpha-beta T cell",Interleukin-2,stimulation,,,,,IL-2_4h,/biosamples/ENCBS016JJR/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Shelly Heimfeld,released,"Homo sapiens female adult (39 years) CD4-positive, alpha-beta T primary cell treated with 100 ng/mL Interleukin-2 for 4 hours",,
56,ENCBS016ORZ,19,year,19 years,primary cell,T-cell,,,,,,,,/biosamples/ENCBS016ORZ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,Homo sapiens male adult (19 years) T-cell primary cell,,
57,ENCBS016QWL,unknown,,,primary cell,foreskin fibroblast,,,,,,,Foreskin fibroblast from a newborn healthy male donor provided by . Fibroblasts were cultured in Invitrogen 106 + LSGS medium.,/biosamples/ENCBS016QWL/,"Joseph Costello, UCSF",newborn,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens male newborn foreskin fibroblast primary cell,,ENCBS135HGQ
58,ENCBS017AOD,unknown,,,cell line,H7,,,,,,,undifferentiated embryonic stem cells,/biosamples/ENCBS017AOD/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens H7 cell line,,ENCBS851RDN
59,ENCBS017DSU,unknown,,,cell line,GM19463,,,,,2017-01-24,,"GM19463 LCLs; Donor from the Luhya in Webuye, Kenya (LWK)",/biosamples/ENCBS017DSU/,"Stephen Montgomery, Stanford",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens GM19463 cell line,,
60,ENCBS017GIN,105,day,105 days,tissue,muscle of arm,,,,,,,"Arm muscle primary tissue from a healthy day 105 male fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS017GIN/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens male embryo (105 days) muscle of arm tissue,,
61,ENCBS017GWZ,78,year,78 years,tissue,head of caudate nucleus,,,,,,,,/biosamples/ENCBS017GWZ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens male adult (78 years) head of caudate nucleus tissue,,
62,ENCBS017NGB,unknown,,,cell line,BLaER1,,,,"/biosamples/ENCBS136KBG/,/biosamples/ENCBS924XCI/",2014-07-17,,,/biosamples/ENCBS017NGB/,"Roderic Guigo, CRG",unknown,,,,,,,Homo sapiens,,,Thomas Graf,released,Homo sapiens BLaER1 cell line,,ENCBS137KWE
63,ENCBS017OST,unknown,,,cell line,RWPE2,,,,,,,,/biosamples/ENCBS017OST/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens RWPE2 cell line,,ENCBS314QIO
64,ENCBS017XFJ,90 or above,year,90 or above years,tissue,posterior cingulate gyrus,,,,,,,,/biosamples/ENCBS017XFJ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (90 or above years) with mild cognitive impairment; posterior cingulate gyrus tissue,,
65,ENCBS018DDZ,4,year,4 years,cell line,SK-N-SH,,,,,2014-06-19,,,/biosamples/ENCBS018DDZ/,"Bradley Bernstein, Broad",child,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens SK-N-SH cell line,,ENCBS500EWH
66,ENCBS018DZY,53,year,53 years,tissue,ascending aorta,,,,,,,,/biosamples/ENCBS018DZY/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens female adult (53 years) ascending aorta tissue,,
67,ENCBS018GXW,52,year,52 years,cell line,OCI-LY3,,,,,2013-07-04,,Oci-Ly-3- Immortalized diffuse large B cell lymphoma cell line developed at the Ontario Cancer Institute,/biosamples/ENCBS018GXW/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Stuart Schreiber,released,Homo sapiens OCI-LY3 cell line,,ENCBS757GPD
68,ENCBS018TPT,5,day,5 days,in vitro differentiated cells,neural progenitor cell,,,,,,,"Frozen or fixed, in vitro specified neural progenitor cells from ES WA09 (H9) by the SESCC for use by the ENCODE consortia",/biosamples/ENCBS018TPT/,"Richard Myers, HAIB",embryonic,,,,,,,Homo sapiens,,,SESCC,released,Homo sapiens female embryo (5 days) neural progenitor in vitro differentiated cells originated from H9,,ENCBS044KWE
69,ENCBS019UMZ,unknown,,,cell line,BLaER1,"17β-estradiol,Interleukin-3,CSF1",stimulation,,,2014-05-18,,,/biosamples/ENCBS019UMZ/,"Roderic Guigo, CRG",unknown,,,,,,,Homo sapiens,,,Thomas Graf,released,"Homo sapiens BLaER1 cell line 120 hours after the sample was treated with 100 nM 17β-estradiol, 10 ng/mL Interleukin-3, 10 ng/mL CSF1",,ENCBS040UGC
70,ENCBS019YGN,113,day,113 days,tissue,placenta,,,,,,,"Placenta primary tissue from a healthy day 113 female fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS019YGN/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens female embryo (113 days) placenta tissue,,
71,ENCBS020ENC,unknown,,,primary cell,astrocyte,,,,,,,astrocytes (also called Astrocy),/biosamples/ENCBS020ENC/,"Bradley Bernstein, Broad",unknown,,,,,,,Homo sapiens,,,Lonza,released,Homo sapiens astrocyte primary cell,,ENCBS096LWS
72,ENCBS020KEB,38,year,38 years,primary cell,T-helper 1 cell,,,,,,,,/biosamples/ENCBS020KEB/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,Homo sapiens male adult (38 years) T-helper 1 primary cell,,
73,ENCBS020XIW,115,day,115 days,tissue,muscle of back,,,,,,,"Back muscle tissue from a healthy day 115 female fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS020XIW/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens female embryo (115 days) muscle of back tissue,,
74,ENCBS021ENC,unknown,,,primary cell,astrocyte,,,,,,,astrocytes (also called Astrocy),/biosamples/ENCBS021ENC/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,Lonza,released,Homo sapiens astrocyte primary cell,,ENCBS052WQU
75,ENCBS021MUK,38,year,38 years,primary cell,"stimulated activated CD4-positive, alpha-beta T cell","anti-CD3 and anti-CD28 coated beads,TNF-alpha","activation,stimulation",,,,,,/biosamples/ENCBS021MUK/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (38 years) stimulated activated CD4-positive, alpha-beta T primary cell treated with anti-CD3 and anti-CD28 coated beads for 48 hours, 100 ng/mL TNF-alpha for 48 hours",,
76,ENCBS021OJJ,36,year,36 years,primary cell,"common myeloid progenitor, CD34-positive",,,,,,,CD34+ cells mobilized into peripheral blood from a healthy donor. Cells provided by the Shelly Heimfeld lab at FHCRC.,/biosamples/ENCBS021OJJ/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Shelly Heimfeld,released,"Homo sapiens male adult (36 years) common myeloid progenitor, CD34-positive primary cell",,
